h3_index,hazard_baseline,hazard_enhanced,vulnerability,risk_baseline,risk_enhanced,risk_category,burned
89283000023ffff,0.6869030581612549,0.9224529685921583,0.07788117815800341,0.05349681944993407,0.07184172398930501,Low,0
89283000027ffff,0.950266388421401,0.9324827030388727,0.17627875457312356,0.16751177546362464,0.1643768895526723,Low,0
8928300002fffff,0.7003248409449758,0.9170886656892611,0.07192099310409175,0.05036805805622776,0.06595792760087806,Low,0
89283000033ffff,0.8076658414340081,0.9063055004110603,0.05999999786702226,0.048459948763307226,0.05437832809153416,Low,0
89283000037ffff,0.9479982500306573,0.9361061969881762,0.16435819050882647,0.15581127698057287,0.1538567206610757,Low,0
892830000a7ffff,0.7206230867552436,0.9204447379680192,0.13301449827483833,0.09585331833001401,0.1224324950105311,Low,0
892830000afffff,0.7234143039731081,0.9049288636965813,0.08235121731542519,0.059574048555576485,0.07452199350927795,Low,0
892830000b7ffff,0.735350753861123,0.9189025761443292,0.09725227966121164,0.07151453716358475,0.08936537031659612,Low,0
89283000103ffff,0.7983213133876632,0.948934749507501,0.18074920990005758,0.14429594664119638,0.17151920622018985,Low,0
89283000107ffff,0.9639468787781906,0.958275401003867,0.17329900965316603,0.1670510394505209,0.1660681779689607,Low,0
8928300010bffff,0.7977745296600124,0.9390532458265822,0.1807499582104891,0.14419771289743982,0.16973383494057886,Low,0
8928300010fffff,0.9608357707311262,0.9547963401813598,0.18372946025180825,0.17653383754706,0.17542421623192314,Low,0
89283000113ffff,0.754473142344992,0.9504488706234232,0.1762786546454246,0.1329975104986811,0.16754384822276028,Low,0
89283000117ffff,0.8055793590015273,0.9366048308372389,0.18223924262249322,0.1468081722567519,0.1706861550083468,Low,0
8928300011bffff,0.8310318317863689,0.946559218326612,0.18074911120867998,0.1502082649815074,0.171089737418918,Low,0
89283000123ffff,0.8051870443022476,0.9451487823886748,0.1792611242996091,0.14433873483310009,0.16942843336140043,Low,0
89283000127ffff,0.95881582572782,0.9501565057979133,0.18075892802780458,0.17331452083465504,0.1717492714466753,Low,0
8928300012bffff,0.9627008454111592,0.9551869584933231,0.18372954831037594,0.17687659148540932,0.17549606843594007,Low,0
8928300012fffff,0.9565506970696771,0.9461258043093922,0.18075021551372059,0.1728967446451438,0.17101244303201488,Low,0
89283000133ffff,0.9600398085507871,0.9575065764579297,0.1792603102522288,0.17209703393530443,0.17164292596439792,Low,0
89283000137ffff,0.7403444645061252,0.9439198027482738,0.17926876651342713,0.1327206389470568,0.1692153387262805,Low,0
8928300013bffff,0.7703371462618425,0.9557830708822888,0.1792601422804641,0.13809074644282457,0.171333809275618,Low,0
89283000143ffff,0.9650261486128525,0.9362043883674738,0.17925962239176052,0.1729902229985149,0.16782364514026246,Low,0
89283000147ffff,0.7982977136277499,0.9366155521696122,0.1762804921348519,0.14072431382842682,0.16510705047761529,Low,0
8928300014bffff,0.7982574224800735,0.9353268289975973,0.18224363725209422,0.14547733613625025,0.17045736333598968,Low,0
8928300014fffff,0.8071884082631036,0.9290554256927507,0.1822433330961643,0.14710470595845546,0.16931415740932268,Low,0
89283000153ffff,0.815552804185751,0.9501845015828067,0.1777698358149435,0.14498068809851772,0.16891414284027945,Low,0
89283000157ffff,0.7954254497908674,0.9330444289993298,0.17925903563813722,0.14258719905154243,0.16725664454995626,Low,0
8928300015bffff,0.7962612161429645,0.9373475309533258,0.17851587977336575,0.14214527152917145,0.16733141914152513,Low,0
89283000163ffff,0.8527215842298282,0.9508223735863194,0.17926515500757426,0.15286326697526445,0.17044932018562123,Low,0
89283000167ffff,0.8730077602397832,0.9609298104982897,0.17341392571941358,0.15139170288669337,0.16663861077932057,Low,0
8928300016bffff,0.7998349992211147,0.9594498431703721,0.18888417751420705,0.15107617597495668,0.18122489449337068,Low,0
8928300016fffff,0.8196885491814812,0.9598419929609808,0.2070259867656198,0.16969683073477543,0.19871223573182617,Moderate,0
89283000173ffff,0.7481684012831071,0.9386349017731035,0.1762793000223539,0.1318866020770297,0.16546190346111359,Low,0
89283000177ffff,0.754125937850055,0.9553061404522498,0.1792604477206456,0.13518495325675262,0.17124860644775225,Low,0
8928300017bffff,0.9596915602215215,0.9327341204754641,0.1822426197313293,0.17489670406881686,0.1699839096282459,Low,0
89283000183ffff,0.8024326550103026,0.9235434884864339,0.17627876274769932,0.14145183561356758,0.16280110349408267,Low,0
89283000187ffff,0.7962997376378518,0.9343355818401368,0.17627918874559692,0.1403710717491322,0.16470391838292459,Low,0
8928300018bffff,0.9562560534341578,0.9609250487460789,0.18074876142415836,0.1728420972625778,0.17368601238230275,Low,0
8928300018fffff,0.9627066824885063,0.9349661228516642,0.18372933198672564,0.17687745567277005,0.17178070118175512,Low,0
89283000193ffff,0.9647326229029033,0.9184235042767702,0.17627959724596845,0.17006267821537055,0.16189932543514005,Low,0
89283000197ffff,0.8110276012662841,0.9209217943068344,0.18223893246651338,0.1478008042556447,0.16782780467962352,Low,0
8928300019bffff,0.8431031564174525,0.9604517556012303,0.18074883442175993,0.15238991281976128,0.17360053534325542,Low,0
892830001a3ffff,0.7488005869727765,0.9501643840811406,0.17627962992682697,0.13199829036055186,0.16749462599547493,Low,0
892830001a7ffff,0.9587846320176725,0.9454506222212634,0.18000467815977805,0.17258571911088236,0.17018553496890043,Low,0
892830001abffff,0.7462929193247748,0.9512770595559806,0.18372969271741954,0.13711616874472685,0.17477784184135073,Low,0
892830001afffff,0.7877156052290245,0.9478764311434145,0.1822407047773776,0.143553847061076,0.1727416688534413,Low,0
